   0.166667E+00   0.947456E+04       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity
   0.333333E+00   0.956452E+04       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity
   0.500000E+00   0.965221E+04       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity
   0.666667E+00   0.973761E+04       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity
   0.833333E+00   0.982067E+04       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity
   0.100000E+01   0.990133E+04       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity
   0.116667E+01   0.997955E+04       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity
   0.133333E+01   0.100553E+05       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity
   0.150000E+01   0.101285E+05       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity
   0.166667E+01   0.101991E+05       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity       Infinity
