   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.683558E-51   0.279475E-34   0.320792E-20   0.103376E-08   0.935250E+00   0.237547E+07   0.169390E+11   0.339107E+12   0.190590E+11   0.300731E+07   0.133220E+01   0.165682E-08   0.578487E-20   0.567057E-34   0.156053E-50   0.000000E+00   0.000000E+00   0.000000E+00
   0.166667E+00   0.100000E-02   0.999999E-03   0.100000E-02   0.999999E-03   0.100000E-02   0.100000E-02   0.100000E-02   0.100000E-02   0.100000E-02   0.100000E-02   0.100000E-02   0.999999E-03   0.879191E+00   0.224378E+07   0.161338E+11   0.324684E+12   0.260683E+11   0.152081E+06   0.106503E+00   0.100000E-04   0.100477E-02   0.999976E-03   0.100108E-02   0.999997E-03   0.100033E-02   0.999999E-03
   0.333333E+00   0.100000E-02   0.999999E-03   0.100000E-02   0.999999E-03   0.100000E-02   0.100000E-02   0.100000E-02   0.100000E-02   0.100000E-02   0.100000E-02   0.100000E-02   0.999999E-03   0.827512E+00   0.212180E+07   0.153828E+11   0.311178E+12   0.324720E+11   0.677912E+06   0.953567E+02   0.100000E-04   0.100981E-02   0.999972E-03   0.100217E-02   0.999997E-03   0.100068E-02   0.999999E-03
   0.500000E+00   0.100000E-02   0.999999E-03   0.100000E-02   0.999999E-03   0.100000E-02   0.100000E-02   0.100000E-02   0.100000E-02   0.100000E-02   0.100000E-02   0.100000E-02   0.999999E-03   0.779773E+00   0.200860E+07   0.146812E+11   0.298505E+12   0.383338E+11   0.997520E+06   0.175130E+00   0.100000E-04   0.102116E-02   0.999967E-03   0.100329E-02   0.999996E-03   0.100103E-02   0.999999E-03
   0.666667E+00   0.100000E-02   0.999999E-03   0.100000E-02   0.999999E-03   0.100000E-02   0.100000E-02   0.100000E-02   0.100000E-02   0.100000E-02   0.100000E-02   0.100000E-02   0.999999E-03   0.735605E+00   0.190339E+07   0.140246E+11   0.286598E+12   0.437030E+11   0.200446E+07   0.571129E+03   0.193164E-02   0.103176E-02   0.999964E-03   0.100442E-02   0.999996E-03   0.100138E-02   0.999999E-03
   0.833333E+00   0.100000E-02   0.100000E-02   0.100000E-02   0.999999E-03   0.100000E-02   0.100000E-02   0.100000E-02   0.100000E-02   0.100000E-02   0.100000E-02   0.100000E-02   0.999999E-03   0.694678E+00   0.180546E+07   0.134094E+11   0.275396E+12   0.486246E+11   0.352645E+07   0.664270E+01   0.134092E-03   0.104492E-02   0.999962E-03   0.100553E-02   0.999996E-03   0.100172E-02   0.100000E-02
   0.100000E+01   0.100000E-02   0.100000E-02   0.100000E-02   0.100000E-02   0.100000E-02   0.100000E-02   0.100000E-02   0.100000E-02   0.100000E-02   0.100000E-02   0.100000E-02   0.100000E-02   0.656704E+00   0.171419E+07   0.128322E+11   0.264845E+12   0.531383E+11   0.574091E+07   0.253993E+01   0.511662E-02   0.105966E-02   0.999958E-03   0.100665E-02   0.999996E-03   0.100206E-02   0.100000E-02
   0.116667E+01   0.100000E-02   0.100000E-02   0.100000E-02   0.100000E-02   0.100000E-02   0.100000E-02   0.100000E-02   0.100000E-02   0.100000E-02   0.100000E-02   0.100000E-02   0.100000E-02   0.621421E+00   0.162901E+07   0.122900E+11   0.254894E+12   0.572811E+11   0.768701E+07   0.736092E+01   0.100047E-01   0.108115E-02   0.999951E-03   0.100777E-02   0.999996E-03   0.100239E-02   0.100000E-02
   0.133333E+01   0.100000E-02   0.100000E-02   0.100000E-02   0.100000E-02   0.100000E-02   0.100000E-02   0.100000E-02   0.100000E-02   0.100000E-02   0.100000E-02   0.100000E-02   0.100000E-02   0.588596E+00   0.154943E+07   0.117800E+11   0.245499E+12   0.610784E+11   0.164869E+08   0.591360E+02   0.979738E-02   0.110642E-02   0.999943E-03   0.100890E-02   0.999995E-03   0.100272E-02   0.999999E-03
   0.150000E+01   0.100000E-02   0.100000E-02   0.100000E-02   0.100000E-02   0.100000E-02   0.100000E-02   0.100000E-02   0.100000E-02   0.100000E-02   0.100000E-02   0.100000E-02   0.100000E-02   0.558023E+00   0.147497E+07   0.112998E+11   0.236618E+12   0.645745E+11   0.169511E+08   0.536442E+02   0.465623E-03   0.114407E-02   0.999936E-03   0.101006E-02   0.999995E-03   0.100306E-02   0.999999E-03
