   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.683558E-51   0.279475E-34   0.320792E-20   0.103376E-08   0.935250E+00   0.237547E+07   0.169390E+11   0.339107E+12   0.190590E+11   0.300731E+07   0.133220E+01   0.165682E-08   0.578487E-20   0.567057E-34   0.156053E-50   0.000000E+00   0.000000E+00   0.000000E+00
   0.166667E+00   0.937689E-03   0.957328E-03   0.100000E-02   0.980018E-03   0.986307E-03   0.100000E-02   0.993494E-03   0.100000E-02   0.996800E-03   0.100000E-02   0.998308E-03   0.100000E-02   0.879225E+00   0.224380E+07   0.161338E+11   0.324684E+12   0.260630E+11   0.636901E+07   0.650442E+03   0.137509E-01   0.100944E-02   0.999983E-03   0.100104E-02   0.999998E-03   0.100020E-02   0.100012E-02
   0.333333E+00   0.100000E-02   0.100000E-02   0.100000E-02   0.100000E-02   0.100000E-02   0.100000E-02   0.100000E-02   0.100000E-02   0.100000E-02   0.100000E-02   0.100000E-02   0.100000E-02   0.828173E+00   0.212244E+07   0.153855E+11   0.311199E+12   0.324371E+11   0.352496E+08   0.314571E+04   0.199586E-01   0.986360E-03   0.999999E-03   0.100213E-02   0.999996E-03   0.100039E-02   0.100025E-02
   0.500000E+00   0.936879E-03   0.100000E-02   0.741520E-04   0.250878E-02   0.100000E-02   0.990572E-03   0.100000E-02   0.100000E-02   0.100000E-02   0.997729E-03   0.100000E-02   0.998742E-03   0.100000E-02   0.127645E+07   0.146928E+11   0.298601E+12   0.382061E+11   0.119170E+09   0.952567E+04   0.169720E+00   0.952233E-03   0.100034E-02   0.100348E-02   0.999990E-03   0.100057E-02   0.100038E-02
   0.666667E+00   0.100000E-02   0.100000E-02   0.100000E-02   0.100000E-02   0.100000E-02   0.273571E-02   0.100000E-02   0.995454E-03   0.100000E-02   0.997725E-03   0.100000E-02   0.100000E-02   0.100000E-02   0.999192E-03   0.100000E-02   0.263591E+12   0.779698E+11   0.302799E+10   0.106993E+07   0.433868E+02   0.878666E-04   0.100124E-02   0.100535E-02   0.999983E-03   0.100074E-02   0.100052E-02
   0.833333E+00   0.934011E-03   0.955037E-03   0.100000E-02   0.100000E-02   0.100000E-02   0.990313E-03   0.100000E-02   0.226332E-02   0.168938E-02   0.997713E-03   0.100000E-02   0.100000E-02   0.100000E-02   0.999204E-03   0.100000E-02   0.212762E+12   0.119948E+12   0.519637E+10   0.107493E+07   0.960879E+02   0.233288E-03   0.100201E-02   0.100791E-02   0.999975E-03   0.100089E-02   0.100068E-02
   0.100000E+01   0.100000E-02   0.100000E-02   0.100000E-02   0.978267E-03   0.100000E-02   0.100000E-02   0.100000E-02   0.100000E-02   0.100000E-02   0.277910E-02   0.100000E-02   0.100000E-02   0.100000E-02   0.999216E-03   0.100000E-02   0.602721E+11   0.263004E+12   0.829230E+10   0.212558E+07   0.112494E+03   0.166450E-01   0.101439E-02   0.101139E-02   0.999961E-03   0.100103E-02   0.100085E-02
   0.116667E+01   0.100000E-02   0.100000E-02   0.100000E-02   0.977591E-03   0.100000E-02   0.100000E-02   0.100000E-02   0.995160E-03   0.996640E-03   0.100000E-02   0.258070E-02   0.121873E-02   0.999033E-03   0.999223E-03   0.100000E-02   0.309691E+11   0.281212E+12   0.135105E+11   0.408088E+07   0.103374E+04   0.105187E+00   0.111176E-02   0.158775E-02   0.103074E-02   0.100115E-02   0.100105E-02
   0.133333E+01   0.100000E-02   0.100000E-02   0.100000E-02   0.976698E-03   0.100000E-02   0.100000E-02   0.100000E-02   0.995023E-03   0.100000E-02   0.997584E-03   0.100000E-02   0.253102E-02   0.158879E-02   0.999230E-03   0.100000E-02   0.323283E+09   0.301550E+12   0.182501E+11   0.954080E+07   0.267671E+05   0.308136E+00   0.953873E-03   0.158839E-02   0.103193E-02   0.100135E-02   0.100127E-02
   0.150000E+01   0.100000E-02   0.100000E-02   0.100000E-02   0.100000E-02   0.100000E-02   0.100000E-02   0.100000E-02   0.100000E-02   0.100000E-02   0.100000E-02   0.100000E-02   0.100000E-02   0.322987E-02   0.178420E-02   0.100000E-02   0.100000E-02   0.292065E+12   0.214391E+11   0.139621E+10   0.264286E+07   0.214024E+03   0.182906E-02   0.158794E-02   0.103353E-02   0.999981E-03   0.100311E-02
   0.166667E+01   0.100000E-02   0.100000E-02   0.100000E-02   0.100000E-02   0.100000E-02   0.100000E-02   0.100000E-02   0.100000E-02   0.100000E-02   0.100000E-02   0.100000E-02   0.100000E-02   0.100000E-02   0.408310E-02   0.173618E-02   0.100000E-02   0.182044E+12   0.124630E+12   0.323872E+10   0.341935E+08   0.180442E+05   0.533903E+01   0.268321E-02   0.103733E-02   0.999970E-03   0.100314E-02
   0.183333E+01   0.100000E-02   0.100000E-02   0.100000E-02   0.100000E-02   0.100000E-02   0.100000E-02   0.100000E-02   0.100000E-02   0.100000E-02   0.100000E-02   0.100000E-02   0.100000E-02   0.100000E-02   0.100000E-02   0.496309E-02   0.100000E-02   0.207405E+12   0.926502E+11   0.504431E+10   0.905981E+08   0.181555E+06   0.515907E+01   0.735572E-03   0.100019E-02   0.119450E-02   0.100322E-02
